Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C28, C29, C30, C31, C32, C5, C8",CP_Elec_6.3x3,8,220uF,
"C10, C11, C12, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C3, C4, C6, C7, C9",0805,19,0.1uF,
"C13, C14",0805,2,27pF,
C25,0805,1,2.2uF,
"C26, C27",0805,2,4.7uF,
"C33, C34",0805,2,3.3uF,
C35,0805,1,10uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",0805,10,LED3,
F1,1210,1,Fuse,
J1,PinSocket_1x05_P2.54mm_Vertical,1,MODULE-12V,
J10,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,JOY2,
J11,PJ-307,1,AudioJack2_Ground,
J13,TE_5530841-5,1,CART2,
J14,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DH15,
J15,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,JOY1,
J16,TE_5530841-5,1,CART1,
"J17, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J18,CUI_MD-40SM,1,S-Video,
J2,PinSocket_2x04_P2.54mm_Vertical,1,ESP-01,
J3,BarrelJack_Horizontal,1,Barrel_Jack,
J4,Conn_uSDcard,1,MICRO-SD,
J6,TE_6364372-2,1,KEYBOARD-USB,
J7,TE_5749180-1,1,KEYBOARD-PS2,
J8,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R1, R2",0805,2,10K,
R10,0805,1,22,
R11,0805,1,1M,
"R12, R5",0805,2,1K,
"R13, R14",0805,2,2.2K,
"R3, R7",0805,2,10,
"R8, R9",0805,2,100,
"RN1, RN10, RN11, RN13, RN14, RN15, RN16, RN19, RN2, RN20, RN21, RN22, RN23, RN3, RN36, RN37, RN38, RN39, RN4, RN40, RN41, RN42, RN43, RN5, RN6, RN7, RN8, RN9",R_Array_Convex_4x0603,28,100,
"RN12, RN25, RN26, RN35, RN44",R_Array_Convex_4x0603,5,10K,
"RN17, RN18, RN24",R_Array_Convex_4x0603,3,1K,
"RN27, RN28, RN29, RN30, RN31, RN32, RN33, RN34",R_Array_Convex_4x0603,8,200,
SW1,SW_DIP_SPSTx08_Piano_10.8x21.88mm_W7.62mm_P2.54mm,1,SW_DIP_x08,
SW2,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,1,SW_Push,
SW3,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Push,
U1,QFP50P3460X3460X410-240N,1,EP1C12Q240C8N,EP1C12Q240C8N
U2,SOT-223-3_TabPin2,1,AMS1117-1.5,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,SOT65P210X110-6N,1,NC7WZU04P6X,
U5,TSOP-II-54_22.2x10.16mm_P0.8mm,1,MT48LC16M16A2TG,
U6,SO08,1,M51953BFP,
U7,SSOP-20_5.3x7.2mm_P0.65mm,1,CH559T,
U8,SO08,1,EPCS4,
Y1,Crystal_HC49-U_Vertical,1,21.47727 MHz,
