Designator,Mid X,Mid Y,Rotation,Layer
C1,205.1,-176.3,90.0,top
C10,250.5098,-129.5549,270.0,bottom
C11,267.76,-152.26,270.0,bottom
C12,225.2,-161.5,90.0,bottom
C13,252.0,-165.2,180.0,top
C14,258.0,-165.2,180.0,top
C15,241.8,-161.55,270.0,bottom
C16,230.9598,-117.3778,0.0,bottom
C17,239.7598,-141.9012,0.0,bottom
C18,227.0098,-123.2012,90.0,bottom
C19,250.5098,-123.6012,90.0,bottom
C2,197.1,-156.7,0.0,bottom
C20,248.7598,-141.9012,0.0,bottom
C21,237.7598,-117.4012,0.0,bottom
C22,244.7098,-117.4012,0.0,bottom
C23,233.7958,-141.9012,0.0,bottom
C24,270.0371,-175.735,180.0,bottom
C25,276.0,-175.735,180.0,bottom
C26,172.3,-154.2,90.0,bottom
C27,151.2,-154.2,90.0,bottom
C28,214.3,-90.4,270.0,top
C29,205.6,-90.4,270.0,top
C3,227.0098,-135.2012,270.0,bottom
C30,247.4,-90.4,270.0,top
C31,238.8021,-90.4,270.0,top
C32,230.2042,-90.4,270.0,top
C4,190.4,-164.7,90.0,bottom
C5,196.1,-176.3,90.0,top
C6,215.0,-156.7,0.0,bottom
C7,208.5,-164.6,90.0,bottom
C8,214.1,-176.3,90.0,top
C9,271.3,-123.4,0.0,bottom
D1,277.8625,-125.9,180.0,top
D2,277.8625,-122.6297,180.0,top
D3,277.8625,-119.3595,180.0,top
D4,277.8625,-116.0892,180.0,top
D5,277.8625,-112.819,180.0,top
D6,277.8625,-109.5487,180.0,top
D7,277.8625,-106.2785,180.0,top
D8,277.8625,-103.0082,180.0,top
D9,277.8625,-99.738,180.0,top
F1,224.6,-173.0,0.0,top
IC1,271.3,-115.5,0.0,bottom
J1,212.85,-149.925,90.0,top
J10,291.685331,-134.035,90.0,top
J11,202.48,-76.3,270.0,top
J12,219.8575,-72.89,180.0,top
J13,180.45,-127.72,270.0,top
J14,246.18,-73.509669,180.0,top
J15,291.675331,-167.955,90.0,top
J16,159.118,-127.72,270.0,top
J17,277.785,-180.56,270.0,top
J2,271.12,-170.55,90.0,top
J3,228.8575,-184.22,90.0,top
J4,276.48,-81.0325,180.0,top
J5,232.3,-173.2,90.0,top
J6,246.26,-185.06,0.0,top
J7,264.99,-186.1075,0.0,top
J8,206.145,-186.935,270.0,top
R1,275.5375,-80.8875,0.0,bottom
R10,227.6611,-141.7488,180.0,bottom
R11,271.3,-157.1,0.0,bottom
R2,280.3127,-80.8367,180.0,bottom
R3,227.0098,-129.2012,90.0,bottom
R4,264.0942,-175.735,180.0,bottom
R5,250.284,-117.5207,180.0,bottom
R6,258.1713,-175.735,180.0,bottom
R7,250.5098,-135.4887,270.0,bottom
R8,271.3,-141.725,0.0,bottom
R9,271.3,-146.9125,0.0,bottom
RN1,211.9902,-129.3254,90.0,top
RN10,206.4902,-121.4787,90.0,top
RN11,211.9902,-123.5903,90.0,top
RN12,191.5,-186.9,90.0,bottom
RN13,265.8125,-163.7363,270.0,top
RN14,265.8125,-158.0012,270.0,top
RN15,265.8125,-152.266,270.0,top
RN16,265.8125,-146.5309,270.0,top
RN17,265.8,-140.7957,270.0,top
RN18,265.8,-135.0606,270.0,top
RN19,265.8,-129.3254,270.0,top
RN2,206.4902,-133.8287,90.0,top
RN20,265.8,-123.5903,270.0,top
RN21,265.8,-117.8551,270.0,top
RN22,265.8875,-112.12,270.0,top
RN23,261.5777,-98.9037,0.0,top
RN24,170.0,-106.1,270.0,bottom
RN25,278.2,-141.6,270.0,top
RN26,278.2,-147.5,270.0,top
RN27,213.8777,-104.5037,180.0,top
RN28,220.3491,-104.5037,180.0,top
RN29,226.8206,-104.5037,180.0,top
RN3,211.9902,-135.0606,90.0,top
RN30,259.1777,-104.5037,180.0,top
RN31,246.2348,-104.5037,180.0,top
RN32,252.7063,-104.5037,180.0,top
RN33,233.292,-104.5037,180.0,top
RN34,239.7634,-104.5037,180.0,top
RN35,278.2,-153.3,270.0,top
RN36,210.8777,-98.9037,180.0,top
RN37,217.2152,-98.9037,180.0,top
RN38,223.5527,-98.9037,180.0,top
RN39,255.2402,-98.9037,180.0,top
RN4,206.4902,-140.0037,90.0,top
RN40,242.5652,-98.9037,180.0,top
RN41,248.9027,-98.9037,180.0,top
RN42,229.8902,-98.9037,180.0,top
RN43,236.2277,-98.9037,180.0,top
RN44,278.2,-159.0,270.0,top
RN5,211.9902,-140.7957,90.0,top
RN6,206.4902,-127.6537,90.0,top
RN7,211.9902,-112.12,90.0,top
RN8,206.4902,-115.3037,90.0,top
RN9,211.9902,-117.8551,90.0,top
SW1,289.345,-101.195,180.0,top
SW2,281.52,-191.43,180.0,top
U1,238.8,-129.9,180.0,top
U2,197.1,-164.8,90.0,bottom
U3,215.1,-164.8,90.0,bottom
U4,271.3,-152.3,90.0,bottom
U5,233.7,-161.8,90.0,top
U6,257.7,-168.0,180.0,bottom
Y1,255.7,-157.1,0.0,top
